W,T,R
0.737,0.9688997,0.031097800000000002
0.738,0.9690813,0.0309159
0.739,0.9693308,0.030666699999999998
0.74,0.969606,0.030392199999999998
0.741,0.9698367,0.0301603
0.742,0.9699519,0.0300457
0.743,0.9699142000000001,0.0300833
0.744,0.9697437999999999,0.0302537
0.745,0.9695003,0.030497
0.746,0.9692482,0.0307495
0.747,0.9690148999999999,0.030982500000000003
0.748,0.9687949,0.0312032
0.749,0.9685488,0.0314483
0.75,0.9682550000000001,0.031742
0.751,0.9679279,0.0320692
0.752,0.967618,0.0323795
0.753,0.9673869,0.0326109
0.754,0.9672781,0.032719399999999996
0.755,0.9672858,0.032712
0.756,0.9673641000000001,0.0326336
0.757,0.9674541000000001,0.0325437
0.758,0.9675218,0.0324755
0.759,0.9675674,0.0324304
0.76,0.9676199,0.0323774
0.761,0.9677142000000001,0.032283400000000004
0.762,0.9678618,0.0321361
0.763,0.9680344,0.0319628
0.764,0.9681858,0.0318118
0.765,0.9682716,0.0317259
0.766,0.9682856,0.0317121
0.767,0.9682573999999999,0.0317403
0.768,0.9682404,0.0317575
0.769,0.9682809,0.0317171
0.77,0.9683835999999999,0.0316141
0.771,0.9685075000000001,0.0314901
0.772,0.9685908999999999,0.0314068
0.773,0.9685760000000001,0.0314214
0.774,0.9684499,0.0315482
0.775,0.9682508,0.0317469
0.776,0.9680540000000001,0.0319434
0.777,0.9679359,0.0320619
0.778,0.9679414,0.032057
0.779,0.9680549,0.031943
0.78,0.9682229,0.0317746
0.781,0.9683678,0.0316295
0.782,0.9684322000000001,0.0315654
0.783,0.9684041000000001,0.0315936
0.784,0.9683124,0.031685500000000005
0.785,0.9682116999999999,0.0317855
0.786,0.9681545,0.0318433
0.787,0.9681613,0.031836500000000004
0.788,0.9682222,0.031776200000000004
0.789,0.9683006000000001,0.031696499999999996
0.79,0.9683674999999999,0.0316302
0.791,0.9684122000000001,0.0315854
0.792,0.9684575,0.0315401
0.793,0.968556,0.0314419
0.794,0.9687608,0.0312372
0.795,0.9691142,0.0308835
0.796,0.9696195,0.0303786
0.797,0.9702428000000001,0.0297549
0.798,0.9709220999999999,0.0290755
0.799,0.9715792000000001,0.028418199999999998
0.8,0.9721482,0.0278491
0.801,0.9725745,0.027423600000000003
0.802,0.9728289999999999,0.027169
0.803,0.9728943,0.027103600000000002
0.804,0.9727749,0.0272224
0.805,0.9724801,0.0275179
0.806,0.972042,0.027955999999999998
0.807,0.9714975,0.0284997
0.808,0.9709142,0.029083800000000003
0.809,0.9703458,0.0296523
0.81,0.9698547000000001,0.030143200000000002
0.811,0.9694891,0.030508999999999998
0.812,0.9692457,0.0307516
0.813,0.9691242,0.030873400000000002
0.814,0.9690778,0.030920100000000002
0.815,0.9690786,0.0309196
0.816,0.9691074000000001,0.0308901
0.817,0.9691477999999999,0.0308497
0.818,0.9692177,0.0307799
0.819,0.9693179000000001,0.0306802
0.82,0.9694535999999999,0.030543999999999998
0.821,0.9696136,0.0303842
0.822,0.9697553000000001,0.0302425
0.823,0.9698293,0.030167799999999998
0.824,0.9698079,0.030190199999999997
0.825,0.9696738,0.0303241
0.826,0.9694526,0.0305458
0.827,0.9691953999999999,0.030802100000000002
0.828,0.9689699,0.0310278
0.829,0.9688348999999999,0.0311634
0.83,0.9688165,0.031181399999999998
0.831,0.9689055000000001,0.031092300000000003
0.832,0.9690525999999999,0.030945200000000003
0.833,0.9691946,0.0308033
0.834,0.9692668000000001,0.030730900000000002
0.835,0.9692343999999999,0.030763699999999998
0.836,0.9691008,0.0308974
0.837,0.968906,0.0310919
0.838,0.9687128,0.0312853
0.839,0.9685827,0.0314153
0.84,0.9685532000000001,0.0314445
0.841,0.9686297,0.0313682
0.842,0.9687797,0.0312182
0.843,0.9689487,0.0310488
0.844,0.9690803,0.0309174
0.845,0.9691348999999999,0.0308628
0.846,0.9691044999999999,0.0308939
0.847,0.9690106,0.030987499999999998
0.848,0.968899,0.0310988
0.849,0.9688158,0.0311821
0.85,0.9687946,0.031203599999999998
0.851,0.9688403,0.031157300000000002
0.852,0.9689326,0.0310657
0.853,0.9690278000000001,0.0309704
0.854,0.9690812,0.0309165
0.855,0.9690612000000001,0.0309369
0.856,0.9689575,0.0310398
0.857,0.9687901999999999,0.0312074
0.858,0.9685973,0.031400899999999995
0.859,0.9684225000000001,0.0315756
0.86,0.9683052000000001,0.0316931
0.861,0.9682642,0.0317338
0.862,0.9682980000000001,0.031699899999999996
0.863,0.9683866000000001,0.031611600000000004
0.864,0.9685014,0.031496300000000005
0.865,0.9686185999999999,0.0313791
0.866,0.9687266999999999,0.0312721
0.867,0.9688235000000001,0.0311742
0.868,0.9689266999999999,0.031071599999999998
0.869,0.9690477,0.030950500000000002
0.87,0.9691985,0.0307998
0.871,0.9693723,0.030625100000000002
0.872,0.9695569999999999,0.030440900000000003
0.873,0.969723,0.0302754
0.874,0.9698446,0.030152899999999996
0.875,0.969904,0.0300941
0.876,0.9698950000000001,0.0301029
0.877,0.969827,0.0301709
0.878,0.9697209999999999,0.030277099999999998
0.879,0.9695998,0.0303979
0.88,0.9694851,0.030512800000000003
0.881,0.969387,0.030611199999999998
0.882,0.9693067000000001,0.0306914
0.883,0.9692393,0.0307587
0.884,0.969181,0.0308168
0.885,0.9691348999999999,0.0308629
0.886,0.9691127,0.030884299999999996
0.887,0.9691377,0.0308608
0.888,0.9692295,0.0307686
0.889,0.9694052000000001,0.030593
0.89,0.9696653999999999,0.030332599999999998
0.891,0.9699918,0.030005999999999998
0.892,0.9703493000000001,0.029649000000000002
0.893,0.9706923000000001,0.0293049
0.894,0.9709847,0.029013399999999998
0.895,0.9711982,0.0287998
0.896,0.9713305,0.028666900000000002
0.897,0.9714029,0.0285954
0.898,0.9714444,0.0285534
0.899,0.9714892,0.0285089
